theta1,theta2,omega1,omega2,alpha1,alpha2
-0.7975020799055764,-0.3413430549149719,-0.32339485646397437,-1.2677796165759647,9.94953123351047,-5.538534733987974
-0.8019792297166396,-0.36779427595146696,-0.12429424770966113,-1.3767597514587553,9.95736816559072,-5.363737863892054
-0.8024742845262048,-0.3963915221774883,0.07472843759607273,-1.4824332338389874,9.939343204150843,-5.204291740912997
-0.7989950389437467,-0.4270701175079915,0.27299089456503056,-1.5848556806344347,9.877833271747436,-5.033151616607877
-0.7915669282876244,-0.459760295344617,0.46938688310212695,-1.6834214046586977,9.747863438384867,-4.810953346104018
-0.7802430428666944,-0.4943714202597635,0.6622305668742792,-1.776605393260753,9.516471116356222,-4.485166554061588
-0.7651172650027546,-0.5307710450228421,0.8491072645178525,-1.8617152457024722,9.144279618541749,-3.992362059088854
-0.7463398319850695,-0.568759807117591,1.026793990847417,-1.9347429829578076,8.591241466393102,-3.266424173505358
-0.72413297319049,-0.6080455307534897,1.1913502826415585,-1.990460920009446,7.8280287737653715,-2.254919879531658
-0.6988021015080438,-0.6482230369351198,1.3384864467840436,-2.022918282142491,6.8517959263201185,-0.9420033165402565
-0.6707364676520275,-0.6887685270207614,1.4642423394944069,-2.026394188687193,5.699955435926274,0.6309767499974406
-0.6403941238723435,-0.7290562776234715,1.5658371884023923,-1.9966201960794348,4.451803937011094,2.361566418755583
-0.6082707832815561,-0.7683988640966327,1.6423684996572627,-1.9318237390908115,3.2115768513089122,4.108439413550148
-0.5748591595918682,-0.8061022712431954,1.695022395321961,-1.8331113434405073,2.0786226723427452,5.73234484422866
-0.5406101558918113,-0.8415202887589736,1.7266882456706818,-1.7040245319050302,1.1205339750090366,7.133873445836323
-0.5059061892327054,-0.8740937359825388,1.741183727908963,-1.5495387952971915,0.36232154999270466,8.269557636934087
-0.47105096424903764,-0.903368115643749,1.7424407816022336,-1.374984646528381,-0.20757254824419286,9.144745389809557
-0.4362735943178378,-0.9289921364807348,1.7339128921905105,-1.1852528890265672,-0.6228455342579486,9.794615057957664
-0.4017416025663481,-0.9507042802869247,1.7182786348069996,-0.9843931028688768,-0.9252772474898778,10.265417043463867
-0.3675773197841304,-0.968314721410908,1.69738307516997,-0.7755299306419356,-1.1553053369086532,10.601887177882801
-0.3338739103272509,-0.9816876287477393,1.6723174884743264,-0.560963273447916,-1.347438354290496,10.841208949308923
-0.30070913681813155,-0.9907263378298237,1.6435547228372425,-0.34234003882867936,-1.5289850398491036,11.011502468578227
-0.2681563009259412,-0.9953620708346722,1.6110905012720242,-0.12082927646125774,-1.7205017232208313,11.132686513448105
-0.2362925031638852,-0.9955459085490755,1.574568099984905,0.10273077821187215,-1.9368738422309917,11.218244051992725
-0.2052046356796503,-0.9912433336274544,1.5333801579822595,0.3277230237430677,-2.1884599530322895,11.27710785334245
-0.17499355821579618,-0.9824306015106404,1.486749117114039,0.5536777022819312,-2.4820647444258825,11.315333537654215
-0.14577684483416012,-0.9690922727443074,1.4337904565591244,0.7802290188107672,-2.8216861117598278,11.337462500106218
-0.11769040105100845,-0.951219361368556,1.373563099046652,1.007095883275851,-3.2090572830569846,11.34757491149424
-0.09088916965200838,-0.9288076772800833,1.3051106830949408,1.2340808217043024,-3.6440247591183703,11.35005758438867
-0.06554707744429085,-0.901856054924604,1.2274966392048072,1.461081528147339,-4.1247934516608415,11.350100471498399
-0.04185632118864209,-0.870364270232301,1.1398356222694508,1.688109530028328,-4.648043717675711,11.353905477735214
-0.02002603831543999,-0.8343305643331715,1.0413241525543773,1.915309675422626,-5.208882730822024,11.36854426711732
-0.00028033967515069674,-0.793748835374435,0.9312746590264015,2.142972213304084,-5.800529298373355,11.401329106983109
0.0171444282196035,-0.7486057583913034,0.8091600308858955,2.3715254429413455,-6.4135350307068055,11.458443715683279
0.03200351429272605,-0.6988783954321814,0.6746810859429611,2.6014901005763322,-7.03419887885894,11.542391629662951
0.04404933983899636,-0.6445333407835607,0.5278782101943204,2.8333650879969756,-7.641622626674429,11.647530249757747
0.053040026056595975,-0.5855292246601238,0.36932197455840665,3.0673958447754286,-8.202604114555973,11.752585206151704
0.0587529472477857,-0.5218256166079525,0.20043538026787605,3.303151421227557,-8.663435670239277,11.808781795385741
0.061006606882225464,-0.4534031067185222,0.024015406155488306,3.538812560440682,-8.9382396045764,11.722842045807553
0.059695433674299095,-0.3803012882914842,-0.15499295251157588,3.770085602058196,-8.896210769810295,11.337595016398797
0.05484228596764101,-0.3026819920694276,-0.3285293206391366,3.9887983201840846,-8.357667274731153,10.423024252182794
0.04666946597563089,-0.2209203087699334,-0.48464097684678786,4.181664042346282,-7.122102541278646,8.708952378517052
0.03567592604151502,-0.13570880300688332,-0.6078469883896519,4.33047623848764,-5.05827196690639,6.001246610894691
0.022684710817060118,-0.048128430322409016,-0.6819293178386063,4.415495206205235,-2.248302952919955,2.3740009549307093
0.008806758657087155,0.040385743852513936,-0.6953168520027537,4.422346834831708,0.9245215181170058,-1.708139512711716
-0.004708380402879646,0.12822528664080868,-0.6463228334919957,4.348861921180261,3.8947059109581295,-5.540981635661046
-0.01668861993577738,0.21387681303062733,-0.5440457937609255,4.206280587080597,6.197233819736736,-8.550714888664343
-0.026218636598454796,0.296142801699668,-0.4040971123761207,4.013694851338581,7.658340694315314,-10.54151594207946
-0.03271084811901591,0.37422207471099733,-0.24278574953908338,3.790560541286298,8.361439148350131,-11.64475774889653
-0.0358772224697795,0.4476641722982673,-0.07338313311931752,3.552049106438863,8.502522240450675,-12.125320785557879
-0.03565471500009355,0.5162683868870938,0.09488234180385632,3.308009388548305,8.27703054797832,-12.2342311445943
-0.03212853502468561,0.5799851056747845,0.2562613027113067,3.0639324241954067,7.834450451520759,-12.153084194754413
